Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Carlos YOLO,@misterbait247,2025-05-07T20:30:47.000Z,True,"5 Bam Aquino  
6 Ronnel Arambulo
8 Dodoy Ballon
13 Arlene Brosas17 France Castro
19 David D’Angelo
25 Luke Espiritu  
43 Sonny Matula  
45 Heidi Mendoza  
51 Kiko Pangilinanan  
54 Danilo Ramos#halalan2025",1,13,68,2K,['#halalan2025'],"['@bamaquino', '@LukeEspirituPH', '@AttyMatula', '@HeidiMendoza45', '@kikopangilinan']",[],https://pbs.twimg.com/profile_images/1862849261484003328/JAYjbnDY_bigger.jpg,https://x.com/misterbait247/status/1920214754003726405,tweet_id:1920214754003726405
Angela Baron,@_rainbowfighter,2025-04-24T07:45:04.000Z,False,"#45MendozaHeidi for SENATOR!!! 

HEIDI MENDOZA CAMPAIGN CARAVAN Allen, Northern Samar

April 26, 2025 at 2PM sa Allen Plaza 

Please let your family, relatives and friends from that area know!   #Halalan2025",2,17,85,1.7K,"['#45MendozaHeidi', '#Halalan2025']",['@HeidiMendoza45'],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1915311013223870839,tweet_id:1915311013223870839
The LaSallian,@TheLaSallian,2025-04-12T11:15:37.000Z,False,"JUST IN: The Legislative Assembly (LA) endorses the following #Halalan2025 candidates to the USG:

• Kiko Pangilinan  
• Bam Aquino  
• Luke Espiritu  
• Heidi Mendoza  
• Rep. Arlene Brosas  
• Sonny Matula  
• Leody De Guzman  
• Ronnel Arambulo  
• Danilo Ramos",8,110,619,15K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1911015344384209087,tweet_id:1911015344384209087
ABS-CBN News,@ABSCBNNews,2025-02-11T04:13:47.000Z,True,"Arlene Brosas, senatorial bet of the Makabayan coalition, kicks off her Senate campaign on Tuesday.

She vows to take on abusive and sexist politicians, as well as advance pro-women and pro-children reforms. #Halalan2025 | via  

(: Photos courtesy of Koalisyong",2,57,255,10K,['#Halalan2025'],['@VivienneGulla'],['\\U0001f4f8'],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1889165914102439940,tweet_id:1889165914102439940
Rappler,@rapplerdotcom,2024-10-04T01:04:17.000Z,True,"The near-complete senatorial slate of Makabayan:

Jerome Adonis 
Jocealyn Andamo 
Ronnel Arambulo 
Rep. Arlene Brosas 
Ex-rep. Teddy Casiño 
Rep. France Castro 
Mimi Doringo 
Mody Floranda 
Amirah Lidasan
Ex-rep. Liza Maza 
Danilo Ramos #PHVote #BeTheChange | Dwight de Leon via",1,78,132,12K,"['#PHVote', '#BeTheChange']",[],[],https://pbs.twimg.com/profile_images/1583252893368717313/wUCmGve8_bigger.jpg,https://x.com/rapplerdotcom/status/1842007801302024704,tweet_id:1842007801302024704
Angela Baron,@_rainbowfighter,2025-04-24T07:45:04.000Z,False,"#45MendozaHeidi for SENATOR!!! 

HEIDI MENDOZA CAMPAIGN CARAVAN Allen, Northern Samar

April 26, 2025 at 2PM sa Allen Plaza 

Please let your family, relatives and friends from that area know!   #Halalan2025",2,17,85,1.7K,"['#45MendozaHeidi', '#Halalan2025']",['@HeidiMendoza45'],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_bigger.jpg,https://x.com/_rainbowfighter/status/1915311013223870839,tweet_id:1915311013223870839
The LaSallian,@TheLaSallian,2025-04-12T11:15:37.000Z,False,"JUST IN: The Legislative Assembly (LA) endorses the following #Halalan2025 candidates to the USG:

• Kiko Pangilinan  
• Bam Aquino  
• Luke Espiritu  
• Heidi Mendoza  
• Rep. Arlene Brosas  
• Sonny Matula  
• Leody De Guzman  
• Ronnel Arambulo  
• Danilo Ramos",8,110,619,15K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1911015344384209087,tweet_id:1911015344384209087
ABS-CBN News,@ABSCBNNews,2024-10-02T05:04:34.000Z,True,"Naghain na ng COC si Sta. Rosa City, Laguna Mayor Arlene Arcillas para sa kaniyang huling termino. 

Naghain din ng COC ang kaniyang kapatid na si Vice Mayor Arnold Arcillas para sa 2nd term. | via  #Halalan2025",8,6,41,46K,['#Halalan2025'],['@Dennis_Datu'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1841343494109172012,tweet_id:1841343494109172012
ABS-CBN News,@ABSCBNNews,2024-08-26T05:06:57.000Z,True,"The Makabayan bloc announces its senatorial slate for the 2025 midterm elections at Liwasang Bonifacio during the observance of National Heroes Day on Monday, August 26, 2024. #Halalan2025 

From left to right: 
Mody Floranda
Jocelyn Andamo
Teddy CasiñoArlene BrosasRonnel",58,574,1.8K,160K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1827935745828647177,tweet_id:1827935745828647177
Joomee Jenzee,@joomeejenzee,2024-08-21T04:36:24.000Z,False,"As long as  is in the  we still got some hope.

Kaya dapat iluklok sina Arlene Brosas at
Ronnel Arambulo

sa #Halalan2025para meron pang ibang tutulong ",5,15,108,7.5K,['#Halalan2025'],"['@risahontiveros', '@senatePH', '@ChelDiokno', '@bamaquino', '@kikopangilinan', '@LukeEspirituPH']",['\\U0001f4aa\\U0001f3fc'],https://pbs.twimg.com/profile_images/1971079044285489152/rF-ymmJd_bigger.jpg,https://x.com/joomeejenzee/status/1826116117221486876,tweet_id:1826116117221486876
Detective Mask 名探偵マスク,@DetectiveMask,2024-08-19T03:35:29.000Z,False,"The Makabayan senatorial slate as of today :

 - Jerome Adonis (KMU)
 - Ronnel Arambulo (PAMALAKAYA) 
 - Arlene Brosas (GABRIELA)
 - France Castro (ACT TEACHERS)
 - Liza Maza (GABRIELA)

That gives us 5 out of 12 bets in the slate.#Halalan2025",1,4,27,1.1K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1825376011812540537,tweet_id:1825376011812540537
Roentgen,@ronaldgem,2024-07-18T14:30:33.000Z,False,Aquino. Brosas. Castro. Diokno. Espiritu. Pangilinan. #Halalan2025,2,60,235,10K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1928738836429131776/dW7AkuZ3_bigger.jpg,https://x.com/ronaldgem/status/1813944453515915554,tweet_id:1813944453515915554
Bahaghari,@Bahaghari_PH,2024-07-16T11:06:18.000Z,False,"GABRIELA SA KONGRESO, DALHIN SA SENADO! 

National LGBTQI+ alliance Bahaghari wholeheartedly supports the candidacy of Gabriela Women's Party Representative Arlene Brosas as she eyes a Senate seat in 2025 midterm elections. #GabrielaSaSenado #Halalan2025",2,56,122,4K,"['#GabrielaSaSenado', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1909923806350872576/yIl6ovVS_bigger.jpg,https://x.com/Bahaghari_PH/status/1813168275960049774,tweet_id:1813168275960049774
iMPACT Leadership,@iMPACTPH2019,2024-07-16T04:57:03.000Z,True,"'BABAE, BATA, AT BAYAN': BROSAS ANNOUNCES 2025 SENATORIAL BID

House Assistant Minority Leader and Gabriela Women's Party Rep. Arlene Brosas announces her senatorial bid for the upcoming 2025 midterm elections, championing the agenda of ""babae, bata, at bayan."" #Halalan2025",24,87,282,9.6K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1713681702726651904/8YeAQ_vn_bigger.jpg,https://x.com/iMPACTPH2019/status/1813075348776735070,tweet_id:1813075348776735070
